date,Target Station,MAE,MAPE,RMSE,MSE
29/01/2022 13:49:23,房山,14.006571,94.79205012321472,19.984117686723046,399.36496,0.8000635771811646
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 13:52:35,天坛,14.35672,72.20556735992432,21.47827043954468,461.3161,0.7610459258222789
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 13:56:06,云岗,11.7980995,87.09112405776978,15.929383369000872,253.74525,0.8524598955848741
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 13:59:32,东四环,16.899086,122.85139560699463,23.517892073028012,553.09125,0.7694789945933036
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 14:02:02,官园,10.588695,81.42194747924805,15.279365657401426,233.45901,0.8797561233219073
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 14:06:08,东四,12.276478,63.78753185272217,17.77877924535535,316.085,0.8516010249282085
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 14:09:21,北部新区,10.50182,63.20469379425049,15.8758371688093,252.0422,0.8465703924567178
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 14:12:21,丰台花园,12.244833,54.459816217422485,18.015923132832384,324.5735,0.8486694925475335
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 14:15:12,东高村,11.765675,95.9385335445404,16.81232937297246,282.65442,0.832148568240079
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 14:18:30,古城,10.565788,54.33069467544556,15.65325375209077,245.02435,0.8677707276097077
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 14:21:13,大兴,15.418293,97.93235659599304,21.691260987380524,470.5108,0.8028918956900128
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 14:24:39,南三环,17.757086,82.53843784332275,26.277251711690308,690.49396,0.7359686039626506
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 14:27:14,前门,16.069366,67.10668206214905,27.511079532986567,756.8595,0.7043997605018192
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 14:30:59,榆垡,19.015755,75.96609592437744,27.4749441963719,754.87256,0.7756106270424253
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 14:33:27,琉璃河,19.34835,63.40208649635315,25.76226455306955,663.6943,0.7677037460243584
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 14:35:08,永乐店,21.338158,49.319469928741455,30.53204063555356,932.2055,0.7394755093416276
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 14:41:17,房山,10.179535,59.716248512268066,14.185143363263133,201.21829,0.8994354155284839
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 14:43:19,天坛,10.391325,43.34786534309387,15.43966943732878,238.38339,0.877601867528887
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 14:46:13,云岗,7.060031,37.62505650520325,10.703638930407688,114.56789,0.9331882205224098
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 14:49:26,东四环,13.4126005,114.65849876403809,17.496563383264995,306.12973,0.8737143067802922
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 14:52:31,官园,7.939329,80.12871742248535,11.134782583360616,123.98338,0.936595782344305
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 14:55:17,东四,9.191901,56.3991904258728,13.62207559821614,185.56094,0.9137580506295945
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 14:58:52,北部新区,7.7515497,50.60201287269592,11.489597425455056,132.01085,0.9194699452191101
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 15:01:47,丰台花园,8.785252,53.9594829082489,12.452017281348432,155.05273,0.9279133218205311
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 15:04:43,东高村,7.560167,61.19229793548584,11.366994199387376,129.20856,0.9245283446695726
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 15:08:35,古城,7.9854636,44.36247944831848,11.01946374547296,121.42858,0.9342714806002388
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 15:12:34,大兴,11.292361,59.670478105545044,16.414887049434824,269.44852,0.8877080201664258
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 15:14:46,南三环,10.462311,43.69214177131653,16.98969180666756,288.64963,0.8906488280229206
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 15:17:40,前门,11.886987,45.073628425598145,22.569336254414832,509.37494,0.8022975023864835
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 15:20:52,榆垡,14.480112,43.826308846473694,21.863791771442575,478.0254,0.8584684813603768
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
